,club,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020
0,VfB Stuttgart,602000,452000,434000,496000,407500,348200,359500,314500,362100,238500,468700,452189,0,0,944500,704000,581500,539600,444800,468035,541900,390000,369900,347500,447005,456900,422900,491000,642000,473300,482200,538772,530218,722500,672900,523000,514000,452365,477800,587667,729988,702275,665000,780100,862000,883646,698100,659400,936524,850919,858469,862100,883705,0,956722,927363,0
1,Hertha BSC,532311,547500,0,0,0,751000,721075,774000,418000,384000,469000,616000,376500,447514,425800,284500,389236,0,0,384345,0,0,0,0,0,0,0,257527,0,0,0,0,0,0,899218,891845,796016,687741,623268,715716,681473,824064,794449,827732,773194,886668,793576,0,908630,0,882120,853140,844968,854539,770422,837409,640720
2,Hamburger SV,519000,524000,457000,429500,327500,358000,302000,293000,289000,308000,420500,543000,545000,589000,531000,721500,642343,558148,589900,485918,483878,374218,313400,411974,272150,299450,362800,407900,429485,404160,532897,517573,475305,505679,562789,414145,712882,730910,755558,775620,817260,831758,894713,952415,937036,931165,939108,925579,908910,899567,881027,905278,912899,889798,861146,0,0
3,TSV 1860 MÃ¼nchen,484000,434000,533000,422000,328500,252000,350000,0,0,0,0,0,0,0,472800,0,505500,413000,0,0,0,0,0,0,0,0,0,0,0,0,0,520050,603700,659000,571600,552100,555100,476200,448400,447300,487200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1 FC KÃ¶ln,478560,479000,462000,428000,394000,423000,427000,315500,257000,216800,291300,314500,441000,549200,599000,387000,473000,336000,427500,305500,296518,307000,231459,282000,381000,356000,379000,361000,439000,507000,528100,540000,559000,528500,507000,0,0,583760,529500,0,680994,0,832022,0,0,838367,817000,812300,807200,0,0,821600,827500,842700,829200,0,596600
5,Karlsruher SC,475000,480000,508000,434000,386500,0,0,0,0,0,0,0,531000,504000,0,0,0,467000,391500,305000,0,316500,0,0,367700,349500,327500,311000,340500,376000,374200,490658,455700,460630,455065,0,0,0,0,0,0,0,0,0,490273,476312,0,0,0,0,0,0,0,0,0,0,0
6,1 FC NÃ¼rnberg,429000,458000,431000,400000,676000,453000,0,0,0,0,0,0,0,0,0,571000,0,525500,393000,345500,273000,0,489000,454900,454400,321800,426200,396722,723000,564757,614100,0,0,0,0,613700,0,0,521412,480040,0,512281,554300,706427,738989,0,719705,714337,713463,705804,687006,0,0,0,0,686332,0
7,Meidericher SV,426000,342000,349000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Frankfurter SG Eintracht,394500,353500,491000,462000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,FC Schalke 04,359000,397000,503000,427000,387000,398000,342000,351500,485000,364000,721500,679800,581600,638800,606800,581700,446500,484600,0,474000,0,480500,323140,391000,391700,0,0,0,901900,709300,603510,678015,651269,665081,854845,740437,689223,792183,1027482,1029910,1037691,1043515,1041149,1042921,1041664,1043580,1042368,1042446,1040714,1039912,1046677,1046822,1043559,1031953,1042041,1035999,793577
10,Borussia Dortmund,347000,372000,434300,436000,372000,388000,330000,340000,308000,0,0,0,0,735800,643330,497202,587932,584700,488000,464900,376500,442500,413000,587922,500200,519726,631940,610688,842742,696266,715250,727330,747900,902400,921500,1113400,1098900,1083400,1124900,1152600,1353500,1313000,1237728,1235087,1232669,1272460,1313178,1345560,1368860,1368840,1365050,1367871,1380023,1354105,1351439,1373940,974050
11,PreuÃŸen MÃ¼nster,334000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1 FC Kaiserslautern,332000,363000,303000,334000,230000,241000,251500,298000,296800,213500,301500,337000,328500,344500,419500,458500,416518,402139,362661,364770,323493,289513,281112,471524,365593,373756,432281,546468,639764,567849,584354,632064,618800,0,646000,697983,683805,667175,654575,616257,656511,605710,561750,0,0,0,0,788665,721382,0,0,0,0,0,0,0,0
13,Eintracht Braunschweig,322000,338000,282000,471000,266000,270000,255500,318000,215000,218500,0,361000,391000,370000,327000,303257,241166,0,349380,255943,264268,235383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387583,0,0,0,0,0,0
14,Werder Bremen,311000,409000,360000,296000,354000,313000,261000,312500,333500,256000,269300,319000,353000,318500,339100,298000,300000,0,412000,451302,394100,373300,420859,388626,376700,350046,327479,347134,330374,371623,414807,547551,473787,519404,513625,506358,507184,515797,511600,558774,640322,677506,672174,695205,684546,686381,612254,639532,693733,690865,691162,695396,695896,694974,693992,704052,449028
15,1 FC SaarbrÃ¼cken,271000,0,0,0,0,0,0,0,0,0,0,0,0,489500,398400,0,0,0,0,0,0,0,271000,0,0,0,0,0,0,395532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Hannover 96,0,649000,545500,398000,380300,386000,396000,374500,314500,299200,349100,0,482200,0,0,0,0,0,0,0,0,0,433448,0,356444,243530,0,0,0,0,0,0,0,0,0,0,0,0,0,620436,397079,615484,653117,658185,683965,711616,650206,746345,762035,754100,776300,738800,701188,0,726000,652200,0
17,Borussia Neunkirchen,0,320000,289000,0,171000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bayern MÃ¼nchen,0,0,447000,380000,369000,425500,396500,409500,473000,567000,639000,619000,560500,536350,524900,580600,672850,619000,567324,532500,525500,557000,463500,637000,476573,517000,616000,609153,618000,783000,821000,921000,1011000,987000,927000,956000,894000,845000,904000,882000,937000,906000,1149000,1163900,1173000,1173000,1173000,1173000,1173000,1207000,1207000,1239000,1275000,1275000,1275000,1275000,975000
19,Bor MÃ¶nchengladbach,0,0,407000,412000,374500,348500,436000,369000,277000,253500,378500,376544,402000,427300,443000,342200,300133,312983,349887,284234,346000,318565,277000,296500,242230,226000,334222,327940,411900,402239,458300,533864,530940,512583,466400,443400,0,0,513926,491650,548700,835863,811445,807242,0,805397,788983,768207,881376,845266,888062,861218,879159,875400,866755,844360,613479
20,Tasmania 1900 Berlin,0,0,293127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Eintracht Frankfurt,0,0,0,0,344500,353000,294000,385500,358000,236500,415000,404400,366000,407700,442300,439000,393000,364500,359500,371500,392750,401500,280000,314500,361882,294545,454500,413273,567500,431500,537133,508500,506200,0,0,558345,605245,501400,0,0,447455,0,711672,809624,821100,800100,801900,805200,0,816750,799900,809500,793500,836000,835700,846000,601900
22,Hansa Rostock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259700,0,0,0,456215,322500,320300,271200,274600,256200,314834,337500,380300,351000,0,0,346000,0,0,0,0,0,0,0,0,0,0,0,0
23,Fortuna DÃ¼sseldorf,0,0,0,496000,0,0,0,0,262000,444000,406500,378000,311500,348000,383800,321900,349200,312764,264500,223400,352500,212800,175300,208500,0,0,339000,282000,266000,0,0,0,426350,361500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781847,0,0,0,0,0,745571,519882
